Protocol,Vector,Score,RubricLevel,Justification,Evidence
Augur v2,A5 Wash trading,1,No identity or detection,Permissionless on-chain trading with no identity layer and no built-in wash-trading detection leaves Sybil trading unmitigated.,Appendix A rubric + architecture
Augur v2,A6 Outcome manipulation,1,"Permissionless, no monitoring",Fully permissionless market creation with no outcome-surveillance monitoring maximizes outcome-manipulation exposure.,Appendix A rubric + architecture
Augur v2,A7 Price manipulation,1,"Thin, no limits, manip demonstrated","Thin AMM/order-book liquidity with no position limits leaves prices manipulable, matching the demonstrated-thin-market condition.",Appendix A rubric + architecture
Augur v2,A8 MEV,1,"On-chain, public mempool, sandwichable","Fully on-chain order placement in a public mempool is directly sandwichable, the Score-1 MEV condition.",Appendix A rubric + architecture
Augur v2,A9 SC bugs,2,"Professional audit, active bounty",Augur v2 contracts are professionally audited with a bounty program but are not formally verified.,[140]
Augur v2,A10 Flash loan,2,Partial (short-window TWAP),"Core reporting is not one-block exploitable, but thin trading pools can be dislocated by flash loans, giving partial resistance.",Appendix A rubric + architecture
Augur v2,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous reporters and traders with no insider surveillance leave insider activity unmonitored.,Appendix A rubric + architecture
Augur v2,A12 Censorship,3,"Permissionless: immutable, multiple frontends","Fully permissionless, immutable contracts with multiple possible frontends mean no operator can halt or remove markets.",Appendix A rubric + architecture
Augur v2,A13 Griefing,1,Zero-cost market creation,"Low-cost permissionless market creation lets spurious markets dilute reporting resources (parasitic markets), approaching zero-cost griefing.",[110]
Augur v2,A14 Rug pull,3,"Non-custodial, immutable, audited","Non-custodial, immutable, audited contracts with no admin keys mean funds cannot be rugged.",[140]
Gnosis/Omen,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Omen relies on a bonded escalation (Reality.eth/Kleros) oracle whose dispute economics give rho in the partial range rather than the fork-level guarantee.,Appendix A rubric + architecture
Gnosis/Omen,A2 Data source,2,"Specified, edge cases handled by disputes","Questions are specified with an arbitration fallback for edge cases via Reality.eth disputes, giving partial mitigation.",Appendix A rubric + architecture
Gnosis/Omen,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),"Reality.eth answer submission has a bounded challenge window, giving limited pre-publication visibility rather than an instantly settled public tx.",Appendix A rubric + architecture
Gnosis/Omen,A4 Governance,2,Snapshot voting + >24h timelock,DAO/arbitrator governance is token-weighted but sits behind dispute timelocks rather than being directly flash-loan exposed.,Appendix A rubric + architecture
Gnosis/Omen,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless FPMM trading with no identity layer but LP-fee friction gives only partial wash-trading deterrence.,Appendix A rubric + architecture
Gnosis/Omen,A6 Outcome manipulation,1,"Permissionless, no monitoring",Permissionless market creation with no outcome surveillance leaves outcome manipulation unmitigated.,Appendix A rubric + architecture
Gnosis/Omen,A7 Price manipulation,2,Moderate liquidity or position monitoring,"FPMM curvature and LP depth provide moderate liquidity but no position limits, giving partial mitigation.",Appendix A rubric + architecture
Gnosis/Omen,A8 MEV,1,"On-chain, public mempool, sandwichable","On-chain FPMM swaps in a public mempool are sandwichable, the Score-1 MEV condition.",Appendix A rubric + architecture
Gnosis/Omen,A9 SC bugs,2,"Professional audit, active bounty","The Gnosis Conditional Tokens Framework was audited (ERC-1155 reentrancy and collection-id collisions remediated) with a bounty, but is not formally verified.","[70,140]"
Gnosis/Omen,A10 Flash loan,2,Partial (short-window TWAP),"CTF split/merge conservation blocks one-block drain of the core, but thin FPMM pools remain flash-loan dislocatable, giving partial resistance.",Appendix A rubric + architecture
Gnosis/Omen,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Gnosis/Omen,A12 Censorship,3,"Permissionless: immutable, multiple frontends","Permissionless, immutable CTF/FPMM contracts with independent frontends mean no operator can halt or remove markets.",Appendix A rubric + architecture
Gnosis/Omen,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit/LP cost deters mass spam without a formal bond, giving partial mitigation.",Appendix A rubric + architecture
Gnosis/Omen,A14 Rug pull,3,"Non-custodial, immutable, audited","Non-custodial, immutable, audited CTF contracts with no admin keys mean funds cannot be rugged.",[70]
Azuro,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Azuro uses a specified data-feed/oracle for sports outcomes whose manipulation resistance sits in the partial rho range rather than at fork/regulator level.,Appendix A rubric + architecture
Azuro,A2 Data source,2,"Specified, edge cases handled by disputes","Sports results are relatively unambiguous but rest on a specified provider with dispute handling, giving partial mitigation.",Appendix A rubric + architecture
Azuro,A3 Resolution front-running,1,"Resolution tx public, trading open","The on-chain resolution transaction is public while pool trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Azuro,A4 Governance,2,Snapshot voting + >24h timelock,DAO governance is token-weighted behind Snapshot-style voting and a timelock rather than directly flash-loan exposed.,Appendix A rubric + architecture
Azuro,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless betting with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Azuro,A6 Outcome manipulation,2,"Curated creation, limited surveillance","Sports outcomes are curated to established events with limited surveillance, giving partial outcome-manipulation mitigation.",Appendix A rubric + architecture
Azuro,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Liquidity-tree pooled liquidity provides moderate depth but no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Azuro,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain-assisted order routing reduces but does not eliminate on-chain MEV, giving partial mitigation.",Appendix A rubric + architecture
Azuro,A9 SC bugs,2,"Professional audit, active bounty",Azuro protocol contracts carry a professional audit and active bounty but are not formally verified.,Appendix A rubric + architecture
Azuro,A10 Flash loan,2,Partial (short-window TWAP),"Pooled liquidity is not drainable in a single block, but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Azuro,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous betting with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Azuro,A12 Censorship,2,"Core permissionless, operator frontend","Core contracts are permissionless but the primary frontend is operator-run, giving partial censorship resistance.",Appendix A rubric + architecture
Azuro,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Azuro,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Zeitgeist,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Zeitgeist's Rikiddo/court oracle resolves via a bonded dispute court whose economics give rho in the partial range.,Appendix A rubric + architecture
Zeitgeist,A2 Data source,2,"Specified, edge cases handled by disputes","Questions are specified with a dispute-court fallback for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Zeitgeist,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Court resolution has a bounded challenge/appeal window giving limited pre-publication visibility rather than an instant public settlement.,Appendix A rubric + architecture
Zeitgeist,A4 Governance,2,Snapshot voting + >24h timelock,On-chain (Substrate) governance is token-weighted behind referenda timelocks rather than directly flash-loan exposed.,Appendix A rubric + architecture
Zeitgeist,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Zeitgeist,A6 Outcome manipulation,1,"Permissionless, no monitoring",Permissionless market creation with no outcome surveillance leaves outcome manipulation unmitigated.,Appendix A rubric + architecture
Zeitgeist,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Rikiddo AMM depth gives moderate liquidity but no position limits, giving partial mitigation.",Appendix A rubric + architecture
Zeitgeist,A8 MEV,2,"Off-chain matching, not eliminated","Substrate block production without a public EVM mempool reduces sandwiching, giving partial MEV mitigation.",Appendix A rubric + architecture
Zeitgeist,A9 SC bugs,2,"Professional audit, active bounty",Zeitgeist pallet code carries a professional audit and bounty but is not formally verified.,Appendix A rubric + architecture
Zeitgeist,A10 Flash loan,2,Partial (short-window TWAP),"AMM core is not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Zeitgeist,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Zeitgeist,A12 Censorship,3,"Permissionless: immutable, multiple frontends",Permissionless on-chain markets with immutable pallet logic and open access mean no operator can halt or remove them.,Appendix A rubric + architecture
Zeitgeist,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a bond/deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Zeitgeist,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable runtime behind governance timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Overtime,A1 Oracle manipulation,3,"rho>1 at $10M (Augur fork, CFTC operator)","Overtime resolves sports markets against Chainlink feeds, whose decentralized reporting pushes manipulation cost above market size (rho>1) for the covered outcomes.",Appendix A rubric + architecture
Overtime,A2 Data source,2,"Specified, edge cases handled by disputes","Sports results come from a specified Chainlink data feed with dispute handling, giving partial mitigation on ambiguous edge cases.",Appendix A rubric + architecture
Overtime,A3 Resolution front-running,1,"Resolution tx public, trading open","The on-chain resolution transaction is public while AMM trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Overtime,A4 Governance,2,Snapshot voting + >24h timelock,DAO governance is token-weighted behind Snapshot voting and a timelock rather than directly flash-loan exposed.,Appendix A rubric + architecture
Overtime,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless betting with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Overtime,A6 Outcome manipulation,2,"Curated creation, limited surveillance","Sports outcomes are curated to established events with limited surveillance, giving partial outcome-manipulation mitigation.",Appendix A rubric + architecture
Overtime,A7 Price manipulation,2,Moderate liquidity or position monitoring,"AMM liquidity provides moderate depth but no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Overtime,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain-assisted routing reduces but does not eliminate on-chain MEV, giving partial mitigation.",Appendix A rubric + architecture
Overtime,A9 SC bugs,2,"Professional audit, active bounty",Overtime/Thales contracts carry a professional audit and active bounty but are not formally verified.,Appendix A rubric + architecture
Overtime,A10 Flash loan,3,Core ops not exploitable in one block,"Core sports-AMM operations are not exploitable in a single block, satisfying the one-block-safe Score-3 condition.",Appendix A rubric + architecture
Overtime,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous betting with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Overtime,A12 Censorship,2,"Core permissionless, operator frontend","Core contracts are permissionless but the primary frontend is operator-run, giving partial censorship resistance.",Appendix A rubric + architecture
Overtime,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Overtime,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
MetaDAO,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)","MetaDAO's futarchy decides via multi-day TWAP over conditional markets, whose sustained-capital cost places oracle-manipulation resistance in the partial rho range.","[97,75]"
MetaDAO,A2 Data source,2,"Specified, edge cases handled by disputes","Proposal outcomes are defined by conditional-market prices with specified resolution but residual ambiguity, giving partial mitigation.",[97]
MetaDAO,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Multi-day TWAP settlement gives limited pre-publication visibility of the decisive price rather than an instantly public resolution tx.,Appendix A rubric + architecture
MetaDAO,A4 Governance,2,Snapshot voting + >24h timelock,"Futarchy replaces token-vote governance with market decision behind multi-day windows, so it is not directly flash-loan exposed, giving partial mitigation.","[75,97]"
MetaDAO,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless conditional-market trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
MetaDAO,A6 Outcome manipulation,2,"Curated creation, limited surveillance",Proposal-scoped market creation with some curation and limited surveillance gives partial outcome-manipulation mitigation.,Appendix A rubric + architecture
MetaDAO,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Conditional-market liquidity gives moderate depth but no position limits, giving partial mitigation.",Appendix A rubric + architecture
MetaDAO,A8 MEV,2,"Off-chain matching, not eliminated","Solana execution without a public EVM mempool reduces sandwiching, giving partial MEV mitigation.",Appendix A rubric + architecture
MetaDAO,A9 SC bugs,2,"Professional audit, active bounty",MetaDAO futarchy contracts carry a professional audit and bounty but are not formally verified.,Appendix A rubric + architecture
MetaDAO,A10 Flash loan,1,AMM/gov. manipulable in one block,"Multi-day futarchy TWAPs are by construction resistant to single-block manipulation, but sustained-capital reflexivity remains, so the exposure is scored fully vulnerable to one-block-style capital attack on the AMM leg.",Appendix A rubric + architecture
MetaDAO,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
MetaDAO,A12 Censorship,3,"Permissionless: immutable, multiple frontends",Permissionless on-chain conditional markets with immutable program logic and open access mean no operator can halt or remove them.,Appendix A rubric + architecture
MetaDAO,A13 Griefing,2,"Permissionless, deposit deters mass spam","Proposal-bonded market creation deters mass spam, giving partial griefing mitigation.",Appendix A rubric + architecture
MetaDAO,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable program authority behind governance gives partial rug-pull protection.,Appendix A rubric + architecture
Drift BET,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Drift BET resolves via a specified oracle whose manipulation resistance sits in the partial rho range rather than at fork/regulator level.,Appendix A rubric + architecture
Drift BET,A2 Data source,2,"Specified, edge cases handled by disputes","Outcomes rest on a specified data source with dispute handling for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Drift BET,A3 Resolution front-running,1,"Resolution tx public, trading open","The on-chain resolution transaction is visible while CLOB trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Drift BET,A4 Governance,2,Snapshot voting + >24h timelock,DAO governance is token-weighted behind voting and a timelock rather than directly flash-loan exposed.,Appendix A rubric + architecture
Drift BET,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Drift BET,A6 Outcome manipulation,2,"Curated creation, limited surveillance",Curated market creation with limited surveillance gives partial outcome-manipulation mitigation.,Appendix A rubric + architecture
Drift BET,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Drift's order-book liquidity provides moderate depth but no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Drift BET,A8 MEV,2,"Off-chain matching, not eliminated","Solana execution without a public EVM mempool reduces sandwiching, giving partial MEV mitigation.",Appendix A rubric + architecture
Drift BET,A9 SC bugs,2,"Professional audit, active bounty",Drift program code carries a professional audit and active bounty but is not formally verified.,Appendix A rubric + architecture
Drift BET,A10 Flash loan,2,Partial (short-window TWAP),"Core order-book operations are not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Drift BET,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Drift BET,A12 Censorship,2,"Core permissionless, operator frontend","Core program is permissionless but the primary frontend is operator-run, giving partial censorship resistance.",Appendix A rubric + architecture
Drift BET,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Drift BET,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable program authority behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Seer,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Seer resolves via a bonded escalation (Reality.eth/Kleros) oracle whose dispute economics give rho in the partial range.,Appendix A rubric + architecture
Seer,A2 Data source,2,"Specified, edge cases handled by disputes","Questions are specified with an arbitration fallback for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Seer,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Bonded-answer submission has a challenge window giving limited pre-publication visibility rather than an instant public settlement.,Appendix A rubric + architecture
Seer,A4 Governance,2,Snapshot voting + >24h timelock,Governance is token-weighted behind dispute/arbitration timelocks rather than directly flash-loan exposed.,Appendix A rubric + architecture
Seer,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Seer,A6 Outcome manipulation,1,"Permissionless, no monitoring",Permissionless market creation with no outcome surveillance leaves outcome manipulation unmitigated.,Appendix A rubric + architecture
Seer,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Pooled/CTF liquidity gives moderate depth but no position limits, giving partial mitigation.",Appendix A rubric + architecture
Seer,A8 MEV,1,"On-chain, public mempool, sandwichable","On-chain swaps in a public mempool are sandwichable, the Score-1 MEV condition.",Appendix A rubric + architecture
Seer,A9 SC bugs,2,"Professional audit, active bounty",Seer uses audited Gnosis CTF-derived contracts with a bounty but wrapper code adds trust and it is not formally verified.,"[70,140]"
Seer,A10 Flash loan,2,Partial (short-window TWAP),"CTF conservation blocks one-block core drain but thin pools remain flash-loan dislocatable, giving partial resistance.",Appendix A rubric + architecture
Seer,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Seer,A12 Censorship,3,"Permissionless: immutable, multiple frontends","Permissionless, immutable CTF-based contracts with independent frontends mean no operator can halt or remove markets.",Appendix A rubric + architecture
Seer,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Seer,A14 Rug pull,3,"Non-custodial, immutable, audited","Non-custodial, immutable, audited CTF core with no admin keys means funds cannot be rugged.",[70]
XO Market,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",XO Market resolves via a bonded/escalation oracle whose dispute economics give rho in the partial range.,Appendix A rubric + architecture
XO Market,A2 Data source,2,"Specified, edge cases handled by disputes","Questions are specified with a dispute fallback for edge cases, giving partial mitigation.",Appendix A rubric + architecture
XO Market,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Bonded resolution has a challenge window giving limited pre-publication visibility rather than an instant public settlement.,Appendix A rubric + architecture
XO Market,A4 Governance,2,Snapshot voting + >24h timelock,Governance is token-weighted behind dispute timelocks rather than directly flash-loan exposed.,Appendix A rubric + architecture
XO Market,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
XO Market,A6 Outcome manipulation,1,"Permissionless, no monitoring",Permissionless market creation with no outcome surveillance leaves outcome manipulation unmitigated.,Appendix A rubric + architecture
XO Market,A7 Price manipulation,2,Moderate liquidity or position monitoring,"LS-LMSR liquidity gives moderate depth but no position limits, giving partial mitigation.",Appendix A rubric + architecture
XO Market,A8 MEV,1,"On-chain, public mempool, sandwichable","On-chain swaps in a public mempool are sandwichable, the Score-1 MEV condition.",Appendix A rubric + architecture
XO Market,A9 SC bugs,1,No audit or bounty,"XO Market contracts lack a public audit or bounty, matching the no-audit Score-1 condition.",Appendix A rubric + architecture
XO Market,A10 Flash loan,2,Partial (short-window TWAP),"AMM core is not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
XO Market,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
XO Market,A12 Censorship,3,"Permissionless: immutable, multiple frontends",Permissionless on-chain markets with immutable logic and open access mean no operator can halt or remove them.,Appendix A rubric + architecture
XO Market,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
XO Market,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Rain,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Rain resolves via a specified Chainlink-backed oracle whose manipulation resistance sits in the partial rho range.,Appendix A rubric + architecture
Rain,A2 Data source,2,"Specified, edge cases handled by disputes","Outcomes rest on a specified data source with dispute handling for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Rain,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Bonded/limited-visibility resolution gives limited pre-publication visibility rather than an instant public settlement.,Appendix A rubric + architecture
Rain,A4 Governance,2,Snapshot voting + >24h timelock,Governance is token-weighted behind voting and a timelock rather than directly flash-loan exposed.,Appendix A rubric + architecture
Rain,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Rain,A6 Outcome manipulation,1,"Permissionless, no monitoring",Permissionless market creation with no outcome surveillance leaves outcome manipulation unmitigated.,Appendix A rubric + architecture
Rain,A7 Price manipulation,2,Moderate liquidity or position monitoring,"AMM liquidity gives moderate depth but no position limits, giving partial mitigation.",Appendix A rubric + architecture
Rain,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain-assisted routing reduces but does not eliminate on-chain MEV, giving partial mitigation.",Appendix A rubric + architecture
Rain,A9 SC bugs,1,No audit or bounty,"Rain contracts lack a public audit or bounty, matching the no-audit Score-1 condition.",Appendix A rubric + architecture
Rain,A10 Flash loan,2,Partial (short-window TWAP),"AMM core is not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Rain,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
